"event","trial","time","trialtype","subject_id","task","startTime","totalTime","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","55","131961","0.0-5.0-2.16","","2296","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$62<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$62","1","11","62","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","56","132216","0.0-5.0-3.16","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$62<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$11<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11","$62","1","11","62",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","57","132731","0.0-5.0-1.17","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","58","134634","0.0-5.0-2.17","","1903","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$16","$38","0","16","38","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","59","134886","0.0-5.0-3.17","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$16","$38","0","16","38",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","60","135401","0.0-5.0-1.18","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","61","137250","0.0-5.0-2.18","","1847","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$6","$13","1","6","13","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","62","137504","0.0-5.0-3.18","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$6<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$6","$13","1","6","13",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","63","138006","0.0-5.0-1.19","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","64","139714","0.0-5.0-2.19","","1708","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$51<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19","$51","0","19","51","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","65","139971","0.0-5.0-3.19","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$51<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19","$51","0","19","51",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","66","140472","0.0-5.0-1.20","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","67","142274","0.0-5.0-2.20","","1801","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$58<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$58","$69","1","58","69","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","68","142529","0.0-5.0-3.20","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$58<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$58","$69","1","58","69",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","69","143033","0.0-5.0-1.21","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","70","144378","0.0-5.0-2.21","","1344","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$39","0","18","39","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","71","144636","0.0-5.0-3.21","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$18<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$39","0","18","39",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","72","145151","0.0-5.0-1.22","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","73","148314","0.0-5.0-2.22","","3162","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$13","$41","1","13","41","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","74","148580","0.0-5.0-3.22","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$13<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$13","$41","1","13","41",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","75","149091","0.0-5.0-1.23","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","76","151938","0.0-5.0-2.23","","2846","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$17<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$3","$17","0","3","17","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","77","152203","0.0-5.0-3.23","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$17<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$3","$17","0","3","17",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","78","152719","0.0-5.0-1.24","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","79","154986","0.0-5.0-2.24","","2267","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$4","$14","1","4","14","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","80","155245","0.0-5.0-3.24","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$4<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$4","$14","1","4","14",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","81","155751","0.0-5.0-1.25","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","82","157033","0.0-5.0-2.25","","1281","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$95<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40","$95","0","40","95","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","83","157285","0.0-5.0-3.25","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$95<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40","$95","0","40","95",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","84","157798","0.0-5.0-1.26","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","85","159041","0.0-5.0-2.26","","1242","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$45<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$8","$45","1","8","45","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","86","159296","0.0-5.0-3.26","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$45<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$8<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$8","$45","1","8","45",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","87","159812","0.0-5.0-1.27","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","88","167177","0.0-5.0-2.27","","7364","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$19","0","10","19","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","89","167431","0.0-5.0-3.27","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$10<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$19","0","10","19",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","90","167946","0.0-5.0-1.28","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","91","171218","0.0-5.0-2.28","","3270","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14","$22","1","14","22","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","92","171471","0.0-5.0-3.28","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14","$22","1","14","22",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","93","171983","0.0-5.0-1.29","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","94","173643","0.0-5.0-2.29","","1659","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$64<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$64","1","2","64","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","95","173898","0.0-5.0-3.29","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$64<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$64","1","2","64",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","96","174401","0.0-5.0-1.30","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","97","176434","0.0-5.0-2.30","","2033","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$70<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24","$70","0","24","70","RISKY"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","98","176688","0.0-5.0-3.30","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$70<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24","$70","0","24","70",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","99","177202","0.0-5.0-1.31","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","100","179530","0.0-5.0-2.31","","2326","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$4<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$4","$11","1","4","11","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","101","179796","0.0-5.0-3.31","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$4<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$4","$11","1","4","11",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","102","180312","0.0-5.0-1.32","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","103","183313","0.0-5.0-2.32","","3001","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$21","$25","1","21","25","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","104","183571","0.0-5.0-3.32","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$21<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$21","$25","1","21","25",""
"","","","FIX","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","105","184086","0.0-5.0-1.33","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","106","188762","0.0-5.0-2.33","","4675","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$3","$12","1","3","12","SURE"
"","","","offerFB","636598a7a571403968d03bf2","bdp_rd","Wed Mar 29 2023 18:44:13 GMT-0400 (Eastern Daylight Time)","329254","","html-keyboard-response","107","189018","0.0-5.0-3.33","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$3<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$3","$12","1","3","12",""
