"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"image-keyboard-response","96","117508","0.0-5.0-1.45","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","298","","","","choice","","img/red_lw/choose11.jpg","2","","180","red","0.5","0.5","0.5","l","",""
"animation","97","118118","0.0-5.0-2.45","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","180","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":305},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":459},{""stimulus"":""img/red_ll/10.jpg"",""time"":510},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","98","118460","0.0-5.0-1.46","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","340","","","","choice","","img/red_ll/choose11.jpg","2","","179","red","0.5","0.5","0.5","w","",""
"animation","99","119070","0.0-5.0-2.46","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","179","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":102},{""stimulus"":""img/red_lw/3.jpg"",""time"":154},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":459},{""stimulus"":""img/red_lw/10.jpg"",""time"":511},{""stimulus"":""img/red_lw/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","100","119343","0.0-5.0-1.47","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","272","","","","choice","","img/red_lw/choose11.jpg","2","","178","red","0.5","0.5","0.5","w","",""
"animation","101","119952","0.0-5.0-2.47","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","178","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":102},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":253},{""stimulus"":""img/red_lw/6.jpg"",""time"":304},{""stimulus"":""img/red_lw/7.jpg"",""time"":355},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":456},{""stimulus"":""img/red_lw/10.jpg"",""time"":507},{""stimulus"":""img/red_lw/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","102","120275","0.0-5.0-1.48","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","321","","","","choice","","img/red_lw/choose11.jpg","2","","177","red","0.5","0.5","0.5","l","",""
"animation","103","120888","0.0-5.0-2.48","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","177","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":305},{""stimulus"":""img/red_ll/7.jpg"",""time"":356},{""stimulus"":""img/red_ll/8.jpg"",""time"":407},{""stimulus"":""img/red_ll/9.jpg"",""time"":457},{""stimulus"":""img/red_ll/10.jpg"",""time"":509},{""stimulus"":""img/red_ll/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","104","121252","0.0-5.0-1.49","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","362","","","","choice","","img/red_ll/choose11.jpg","2","","176","red","0.5","0.5","0.5","w","",""
"animation","105","121858","0.0-5.0-2.49","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","176","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":102},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":253},{""stimulus"":""img/red_lw/6.jpg"",""time"":303},{""stimulus"":""img/red_lw/7.jpg"",""time"":354},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":454},{""stimulus"":""img/red_lw/10.jpg"",""time"":505},{""stimulus"":""img/red_lw/11.jpg"",""time"":556}]","[]"
"image-keyboard-response","106","122212","0.0-5.0-1.50","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","353","","","","choice","","img/red_lw/choose11.jpg","2","","175","red","0.5","0.5","0.5","w","",""
"animation","107","122824","0.0-5.0-2.50","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","175","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":102},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":254},{""stimulus"":""img/red_lw/6.jpg"",""time"":305},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":407},{""stimulus"":""img/red_lw/9.jpg"",""time"":458},{""stimulus"":""img/red_lw/10.jpg"",""time"":509},{""stimulus"":""img/red_lw/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","108","123115","0.0-5.0-1.51","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","290","","","","choice","","img/red_lw/choose11.jpg","2","","174","red","0.5","0.5","0.5","w","",""
"animation","109","123727","0.0-5.0-2.51","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","174","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":53},{""stimulus"":""img/red_lw/2.jpg"",""time"":104},{""stimulus"":""img/red_lw/3.jpg"",""time"":154},{""stimulus"":""img/red_lw/4.jpg"",""time"":206},{""stimulus"":""img/red_lw/5.jpg"",""time"":257},{""stimulus"":""img/red_lw/6.jpg"",""time"":307},{""stimulus"":""img/red_lw/7.jpg"",""time"":358},{""stimulus"":""img/red_lw/8.jpg"",""time"":409},{""stimulus"":""img/red_lw/9.jpg"",""time"":460},{""stimulus"":""img/red_lw/10.jpg"",""time"":511},{""stimulus"":""img/red_lw/11.jpg"",""time"":562}]","[]"
"image-keyboard-response","110","124068","0.0-5.0-1.52","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","340","","","","choice","","img/red_lw/choose11.jpg","2","","173","red","0.5","0.5","0.5","l","",""
"animation","111","124675","0.0-5.0-2.52","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","173","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":101},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":202},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":304},{""stimulus"":""img/red_ll/7.jpg"",""time"":355},{""stimulus"":""img/red_ll/8.jpg"",""time"":406},{""stimulus"":""img/red_ll/9.jpg"",""time"":456},{""stimulus"":""img/red_ll/10.jpg"",""time"":507},{""stimulus"":""img/red_ll/11.jpg"",""time"":557}]","[]"
"image-keyboard-response","112","124980","0.0-5.0-1.53","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","301","","","","choice","","img/red_ll/choose11.jpg","2","","172","red","0.5","0.5","0.5","w","",""
"animation","113","125594","0.0-5.0-2.53","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","172","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":358},{""stimulus"":""img/red_lw/8.jpg"",""time"":409},{""stimulus"":""img/red_lw/9.jpg"",""time"":460},{""stimulus"":""img/red_lw/10.jpg"",""time"":512},{""stimulus"":""img/red_lw/11.jpg"",""time"":562}]","[]"
"image-keyboard-response","114","125948","0.0-5.0-1.54","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","352","","","","choice","","img/red_lw/choose11.jpg","2","","171","red","0.5","0.5","0.5","l","",""
"animation","115","126563","0.0-5.0-2.54","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","171","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":54},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":356},{""stimulus"":""img/red_ll/8.jpg"",""time"":407},{""stimulus"":""img/red_ll/9.jpg"",""time"":457},{""stimulus"":""img/red_ll/10.jpg"",""time"":508},{""stimulus"":""img/red_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","116","126884","0.0-5.0-1.55","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","315","","","","choice","","img/red_ll/choose11.jpg","2","","170","red","0.5","0.5","0.5","l","",""
"animation","117","127495","0.0-5.0-2.55","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","170","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":152},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":254},{""stimulus"":""img/red_ll/6.jpg"",""time"":305},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":510},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","118","127756","0.0-5.0-1.56","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","259","","","","choice","","img/red_ll/choose11.jpg","2","","169","red","0.5","0.5","0.5","w","",""
"animation","119","128365","0.0-5.0-2.56","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","169","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":50},{""stimulus"":""img/red_lw/2.jpg"",""time"":102},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":305},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":406},{""stimulus"":""img/red_lw/9.jpg"",""time"":456},{""stimulus"":""img/red_lw/10.jpg"",""time"":508},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","120","128644","0.0-5.0-1.57","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","275","","","","choice","","img/red_lw/choose11.jpg","2","","168","red","0.5","0.5","0.5","w","",""
"animation","121","129255","0.0-5.0-2.57","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","168","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":253},{""stimulus"":""img/red_lw/6.jpg"",""time"":304},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":407},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":509},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","122","129586","0.0-5.0-1.58","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","328","","","","choice","","img/red_lw/choose11.jpg","2","","167","red","0.5","0.5","0.5","l","",""
"animation","123","130197","0.0-5.0-2.58","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","167","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":409},{""stimulus"":""img/red_ll/9.jpg"",""time"":458},{""stimulus"":""img/red_ll/10.jpg"",""time"":508},{""stimulus"":""img/red_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","124","130620","0.0-5.0-1.59","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","420","","","","choice","","img/red_ll/choose11.jpg","2","","166","red","0.5","0.5","0.5","l","",""
"animation","125","131232","0.0-5.0-2.59","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","166","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":154},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":407},{""stimulus"":""img/red_ll/9.jpg"",""time"":457},{""stimulus"":""img/red_ll/10.jpg"",""time"":509},{""stimulus"":""img/red_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","126","131629","0.0-5.0-1.60","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","396","","","","choice","","img/red_ll/choose11.jpg","2","","165","red","0.5","0.5","0.5","w","",""
"animation","127","132239","0.0-5.0-2.60","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","165","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":54},{""stimulus"":""img/red_lw/2.jpg"",""time"":105},{""stimulus"":""img/red_lw/3.jpg"",""time"":155},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":256},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":407},{""stimulus"":""img/red_lw/9.jpg"",""time"":458},{""stimulus"":""img/red_lw/10.jpg"",""time"":508},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","128","132610","0.0-5.0-1.61","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","370","","","","choice","","img/red_lw/choose11.jpg","2","","164","red","0.5","0.5","0.5","l","",""
"animation","129","133221","0.0-5.0-2.61","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","164","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":256},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":459},{""stimulus"":""img/red_ll/10.jpg"",""time"":510},{""stimulus"":""img/red_ll/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","130","133500","0.0-5.0-1.62","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","276","","","","choice","","img/red_ll/choose11.jpg","2","","163","red","0.5","0.5","0.5","w","",""
"animation","131","134109","0.0-5.0-2.62","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","163","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":154},{""stimulus"":""img/red_lw/4.jpg"",""time"":205},{""stimulus"":""img/red_lw/5.jpg"",""time"":257},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":358},{""stimulus"":""img/red_lw/8.jpg"",""time"":407},{""stimulus"":""img/red_lw/9.jpg"",""time"":458},{""stimulus"":""img/red_lw/10.jpg"",""time"":509},{""stimulus"":""img/red_lw/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","132","134379","0.0-5.0-1.63","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","270","","","","choice","","img/red_lw/choose11.jpg","2","","162","red","0.5","0.5","0.5","l","",""
"animation","133","134991","0.0-5.0-2.63","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","162","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":104},{""stimulus"":""img/red_ll/3.jpg"",""time"":154},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":306},{""stimulus"":""img/red_ll/7.jpg"",""time"":357},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":460},{""stimulus"":""img/red_ll/10.jpg"",""time"":511},{""stimulus"":""img/red_ll/11.jpg"",""time"":562}]","[]"
"image-keyboard-response","134","135340","0.0-5.0-1.64","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","348","","","","choice","","img/red_ll/choose11.jpg","2","","161","red","0.5","0.5","0.5","l","",""
"animation","135","135953","0.0-5.0-2.64","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","161","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":103},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":307},{""stimulus"":""img/red_ll/7.jpg"",""time"":358},{""stimulus"":""img/red_ll/8.jpg"",""time"":410},{""stimulus"":""img/red_ll/9.jpg"",""time"":459},{""stimulus"":""img/red_ll/10.jpg"",""time"":511},{""stimulus"":""img/red_ll/11.jpg"",""time"":563}]","[]"
"image-keyboard-response","136","136236","0.0-5.0-1.65","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","281","","","","choice","","img/red_ll/choose11.jpg","2","","160","red","0.5","0.5","0.5","l","",""
"animation","137","136848","0.0-5.0-2.65","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","160","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":154},{""stimulus"":""img/red_ll/4.jpg"",""time"":204},{""stimulus"":""img/red_ll/5.jpg"",""time"":256},{""stimulus"":""img/red_ll/6.jpg"",""time"":307},{""stimulus"":""img/red_ll/7.jpg"",""time"":358},{""stimulus"":""img/red_ll/8.jpg"",""time"":409},{""stimulus"":""img/red_ll/9.jpg"",""time"":460},{""stimulus"":""img/red_ll/10.jpg"",""time"":511},{""stimulus"":""img/red_ll/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","138","137211","0.0-5.0-1.66","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","362","","","","choice","","img/red_ll/choose11.jpg","2","","159","red","0.5","0.5","0.5","l","",""
"animation","139","137823","0.0-5.0-2.66","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","159","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":102},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":255},{""stimulus"":""img/red_ll/6.jpg"",""time"":308},{""stimulus"":""img/red_ll/7.jpg"",""time"":358},{""stimulus"":""img/red_ll/8.jpg"",""time"":408},{""stimulus"":""img/red_ll/9.jpg"",""time"":459},{""stimulus"":""img/red_ll/10.jpg"",""time"":510},{""stimulus"":""img/red_ll/11.jpg"",""time"":560}]","[]"
"image-keyboard-response","140","138156","0.0-5.0-1.67","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","332","","","","choice","","img/red_ll/choose11.jpg","2","","158","red","0.5","0.5","0.5","w","",""
"animation","141","138765","0.0-5.0-2.67","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","","","","","","","","","","158","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":104},{""stimulus"":""img/red_lw/3.jpg"",""time"":154},{""stimulus"":""img/red_lw/4.jpg"",""time"":204},{""stimulus"":""img/red_lw/5.jpg"",""time"":255},{""stimulus"":""img/red_lw/6.jpg"",""time"":305},{""stimulus"":""img/red_lw/7.jpg"",""time"":356},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":458},{""stimulus"":""img/red_lw/10.jpg"",""time"":510},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","142","139275","0.0-5.0-1.68","63ea4e8c0e9a66f5843ed4ac","bdp_lott","Sat Mar 25 2023 22:23:00 GMT-0400 (Eastern Daylight Time)","279709","red","green","","509","","","","choice","","img/red_lw/choose11.jpg","2","","157","red","0.5","0.5","0.5","w","",""
