"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","51","308624","0.0-6.0-3.14","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>S M</font></div></div><div class='cr'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","52","309137","0.0-6.0-1.15","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","53","309859","0.0-6.0-2.15","","","722","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>S M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","54","310112","0.0-6.0-3.15","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>S M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","55","310627","0.0-6.0-1.16","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","56","311555","0.0-6.0-2.16","","","928","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>S F</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","57","311820","0.0-6.0-3.16","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>S F</font></div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","58","312326","0.0-6.0-1.17","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","59","313237","0.0-6.0-2.17","","","911","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>C G</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","60","313502","0.0-6.0-3.17","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>C G</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","61","314007","0.0-6.0-1.18","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","62","319107","0.0-6.0-2.18","","","5100","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>S F</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","63","319358","0.0-6.0-3.18","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>S F</font></div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","64","319872","0.0-6.0-1.19","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","65","321075","0.0-6.0-2.19","","","1203","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>F S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","66","321339","0.0-6.0-3.19","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>F S</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","67","321852","0.0-6.0-1.20","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","68","323235","0.0-6.0-2.20","","","1383","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>S M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","69","323487","0.0-6.0-3.20","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>S M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","70","323993","0.0-6.0-1.21","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","71","324898","0.0-6.0-2.21","","","905","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>C G</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","72","325156","0.0-6.0-3.21","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>C G</font></div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","73","325660","0.0-6.0-1.22","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","74","326339","0.0-6.0-2.22","","","679","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>C G</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","75","326594","0.0-6.0-3.22","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>C G</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","76","327099","0.0-6.0-1.23","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","77","329043","0.0-6.0-2.23","","","1943","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>S M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","0","34","35","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","78","329297","0.0-6.0-3.23","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>S M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","0","34","35","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","79","329810","0.0-6.0-1.24","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","80","330419","0.0-6.0-2.24","","","609","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>S M</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","81","330684","0.0-6.0-3.24","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>S M</font></div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","82","331186","0.0-6.0-1.25","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","83","332821","0.0-6.0-2.25","","","1633","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>J Z</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","84","333076","0.0-6.0-3.25","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>J Z</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"","","","FIX","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","85","333581","0.0-6.0-1.26","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","86","334163","0.0-6.0-2.26","","","581","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>C G</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$30<br>for<br>4","0","25","30","4","OTHER"
"","","","offerFB","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","html-keyboard-response","87","334428","0.0-6.0-3.26","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>C G</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","0","25","30","4",""
"fullscreenexit","88","334901","fullscreenexit","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","fullscreen","88","335442","0.0-7.0","","","","","true","","","","","","","","",""
"","","","","","","","","html-keyboard-response","89","335958","0.0-8.0","","","null","","","","null","","","","","","",""
