"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","51","199613","0.0-6.0-3.14","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","52","200129","0.0-6.0-1.15","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","53","202904","0.0-6.0-2.15","","2774","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","54","203163","0.0-6.0-3.15","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","55","203666","0.0-6.0-1.16","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","56","205800","0.0-6.0-2.16","","2134","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Vanessa T</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","57","206054","0.0-6.0-3.16","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Vanessa T</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","58","206557","0.0-6.0-1.17","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","59","208359","0.0-6.0-2.17","","1802","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","60","208617","0.0-6.0-3.17","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","61","209118","0.0-6.0-1.18","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","62","211592","0.0-6.0-2.18","","2472","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","63","211852","0.0-6.0-3.18","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Sam S</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","64","212356","0.0-6.0-1.19","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","65","214254","0.0-6.0-2.19","","1897","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","66","214517","0.0-6.0-3.19","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$49<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","67","215021","0.0-6.0-1.20","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","68","216423","0.0-6.0-2.20","","1402","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Lauren L</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","69","216685","0.0-6.0-3.20","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Lauren L</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","70","217187","0.0-6.0-1.21","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","71","219215","0.0-6.0-2.21","","2026","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Tony G</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","72","219469","0.0-6.0-3.21","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Tony G</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","73","219972","0.0-6.0-1.22","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","74","221599","0.0-6.0-2.22","","1627","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Vanessa T</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","75","221857","0.0-6.0-3.22","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Vanessa T</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","76","222361","0.0-6.0-1.23","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","77","224431","0.0-6.0-2.23","","2070","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Sam S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","78","224688","0.0-6.0-3.23","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$69<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Sam S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","79","225191","0.0-6.0-1.24","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","80","228135","0.0-6.0-2.24","","2943","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Tony G</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","81","228396","0.0-6.0-3.24","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>Tony G</font></div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","82","228899","0.0-6.0-1.25","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","83","230608","0.0-6.0-2.25","","1707","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","84","230862","0.0-6.0-3.25","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Lauren L</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","85","231365","0.0-6.0-1.26","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","86","232886","0.0-6.0-2.26","","1520","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","SELF"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","87","233142","0.0-6.0-3.26","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4",""
"fullscreenexit","88","233419","fullscreenexit","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","fullscreen","88","234154","0.0-7.0","","","","","true","","","","","","","","",""
"","","","","","","","","html-keyboard-response","89","234659","0.0-8.0","","null","","","","","null","","","","","","",""
